date,product,region,quantity,price,revenue
2024-03-23,Widget,South,34,40.35,1371.9
2024-03-24,Widget,North,28,91.5,2562.0
2024-03-24,Widget,South,15,79.54,1193.1
2024-03-24,Doohickey,East,30,33.84,1015.2
2024-03-25,Widget,East,37,68.08,2518.96
2024-03-25,Doohickey,West,29,63.62,1844.98
2024-03-25,Gadget,South,22,46.11,1014.42
2024-03-26,Gizmo,East,4,43.03,172.12
2024-03-26,Widget,South,20,40.92,818.4
2024-03-26,Widget,East,32,65.54,2097.28
2024-03-27,Gadget,North,36,49.82,1793.52
2024-03-27,Gizmo,East,4,84.87,339.48
2024-03-27,Doohickey,North,27,70.26,1897.02
2024-03-28,Gizmo,East,17,16.29,276.93
2024-03-28,Gadget,West,12,67.62,811.44
2024-03-28,Gadget,North,22,34.4,756.8
2024-03-29,Gizmo,East,17,63.35,1076.95
2024-03-29,Doohickey,West,10,71.21,712.1
2024-03-29,Doohickey,North,1,30.77,30.77
2024-03-30,Widget,West,22,51.12,1124.64
2024-03-30,Doohickey,South,26,27.13,705.38
2024-03-30,Gizmo,South,18,14.71,264.78
2024-03-31,Gadget,North,14,44.06,616.84
2024-03-31,Widget,East,47,42.66,2005.02
2024-03-31,Widget,North,29,99.59,2888.11
2024-04-01,Gadget,West,12,50.17,602.04
2024-04-01,Doohickey,East,36,40.02,1440.72
2024-04-01,Gadget,South,35,62.24,2178.4
2024-04-02,Doohickey,East,12,17.99,215.88
2024-04-02,Gadget,South,7,96.55,675.85
2024-04-02,Gizmo,East,29,67.15,1947.35
2024-04-03,Doohickey,East,11,77.94,857.34
2024-04-03,Gizmo,East,33,25.34,836.22
2024-04-03,Widget,West,6,46.85,281.1
2024-04-04,Gadget,West,47,48.04,2257.88
2024-04-04,Widget,North,15,83.96,1259.4
2024-04-04,Widget,North,32,10.11,323.52
2024-04-05,Widget,South,11,37.08,407.88
2024-04-05,Widget,West,23,98.31,2261.13
2024-04-05,Gadget,South,26,52.74,1371.24
2024-04-06,Widget,North,34,44.43,1510.62
2024-04-06,Gadget,South,46,20.78,955.88
2024-04-06,Gadget,North,34,97.67,3320.78
2024-04-07,Gizmo,West,29,11.8,342.2
2024-04-07,Doohickey,East,4,76.35,305.4
2024-04-07,Doohickey,West,17,79.17,1345.89
2024-04-08,Gadget,South,35,31.93,1117.55
2024-04-08,Gizmo,South,13,70.44,915.72
2024-04-08,Gadget,West,41,18.36,752.76
2024-04-09,Gadget,West,39,33.13,1292.07
2024-04-09,Gadget,North,15,80.91,1213.65
2024-04-09,Gizmo,South,29,87.82,2546.78
2024-04-10,Doohickey,South,29,64.76,1878.04
2024-04-10,Gizmo,West,11,55.62,611.82
2024-04-10,Widget,East,32,24.34,778.88
2024-04-11,Gizmo,South,2,15.68,31.36
2024-04-11,Gizmo,East,47,20.59,967.73
2024-04-11,Gizmo,West,14,30.46,426.44
2024-04-12,Gizmo,West,20,40.75,815.0
2024-04-12,Doohickey,North,22,44.28,974.16
2024-04-12,Widget,South,11,41.17,452.87
2024-04-13,Doohickey,East,27,31.51,850.77
2024-04-13,Doohickey,North,3,55.88,167.64
2024-04-13,Gizmo,South,17,84.28,1432.76
2024-04-14,Gadget,North,44,35.17,1547.48
2024-04-14,Gadget,West,28,94.81,2654.68
2024-04-14,Doohickey,South,29,88.6,2569.4
2024-04-15,Doohickey,North,21,24.56,515.76
2024-04-15,Gizmo,North,47,80.76,3795.72
2024-04-15,Doohickey,East,16,61.71,987.36
2024-04-16,Gizmo,North,37,60.99,2256.63
2024-04-16,Gadget,South,20,45.19,903.8
2024-04-16,Gadget,South,6,55.1,330.6
2024-04-17,Widget,East,19,45.75,869.25
2024-04-17,Gadget,South,5,58.58,292.9
2024-04-17,Doohickey,West,3,66.52,199.56
2024-04-18,Gadget,South,1,70.69,70.69
2024-04-18,Gizmo,South,38,57.92,2200.96
2024-04-18,Gadget,North,15,74.93,1123.95
2024-04-19,Widget,North,34,22.72,772.48
2024-04-19,Gadget,South,35,29.08,1017.8
2024-04-19,Gizmo,East,49,83.69,4100.81
2024-04-20,Gizmo,North,25,39.03,975.75
2024-04-20,Doohickey,East,24,12.06,289.44
2024-04-20,Gadget,South,12,23.84,286.08
2024-04-21,Gizmo,South,18,30.13,542.34
2024-04-21,Widget,West,15,96.16,1442.4
2024-04-21,Doohickey,North,44,61.57,2709.08
2024-04-22,Widget,South,16,93.95,1503.2
2024-04-22,Gadget,West,27,61.76,1667.52
2024-04-22,Gadget,North,8,53.14,425.12
2024-04-23,Gadget,South,46,38.24,1759.04
2024-04-23,Doohickey,South,25,64.57,1614.25
2024-04-23,Gizmo,North,17,22.53,383.01
2024-04-24,Doohickey,North,29,90.84,2634.36
2024-04-24,Widget,North,8,84.64,677.12
2024-04-24,Doohickey,South,15,38.58,578.7
2024-04-25,Widget,South,27,95.75,2585.25
2024-04-25,Doohickey,West,46,84.27,3876.42
2024-04-25,Gizmo,East,7,69.97,489.79
2024-04-26,Widget,North,3,20.96,62.88
2024-04-26,Gadget,South,29,53.04,1538.16
2024-04-26,Gadget,South,44,55.55,2444.2
2024-04-27,Doohickey,North,24,30.93,742.32
2024-04-27,Gadget,East,3,17.2,51.6
2024-04-27,Widget,North,20,79.91,1598.2
2024-04-28,Gadget,East,46,20.98,965.08
2024-04-28,Gizmo,South,15,63.49,952.35
2024-04-28,Gizmo,East,25,94.28,2357.0
2024-04-29,Doohickey,West,30,88.85,2665.5
2024-04-29,Widget,South,14,35.0,490.0
2024-04-29,Gizmo,West,7,86.63,606.41
2024-04-30,Gizmo,North,17,10.03,170.51
2024-04-30,Widget,North,44,11.59,509.96
2024-04-30,Gadget,North,20,64.23,1284.6
2024-05-01,Gadget,East,36,42.83,1541.88
2024-05-01,Doohickey,South,9,44.78,403.02
2024-05-01,Gadget,North,38,60.8,2310.4
2024-05-02,Widget,North,48,27.26,1308.48
2024-05-02,Gizmo,South,22,29.06,639.32
2024-05-02,Gadget,North,2,53.61,107.22
2024-05-03,Doohickey,West,24,77.88,1869.12
2024-05-03,Gadget,South,8,65.75,526.0
2024-05-03,Widget,South,11,36.76,404.36
2024-05-04,Doohickey,South,13,48.73,633.49
2024-05-04,Gadget,West,17,25.36,431.12
2024-05-04,Doohickey,South,8,16.72,133.76
2024-05-05,Widget,West,21,80.44,1689.24
2024-05-05,Gizmo,South,18,33.88,609.84
2024-05-05,Widget,East,30,26.0,780.0
2024-05-06,Widget,North,18,72.25,1300.5
2024-05-06,Widget,East,46,65.62,3018.52
2024-05-06,Widget,North,47,66.99,3148.53
2024-05-07,Gizmo,West,31,30.6,948.6
2024-05-07,Gizmo,East,38,30.94,1175.72
2024-05-07,Doohickey,South,32,29.87,955.84
2024-05-08,Gadget,North,11,25.64,282.04
2024-05-08,Gizmo,North,45,69.02,3105.9
2024-05-08,Gizmo,East,25,86.32,2158.0
2024-05-09,Gadget,West,33,75.19,2481.27
2024-05-09,Gizmo,East,38,81.29,3089.02
2024-05-09,Widget,West,41,46.43,1903.63
2024-05-10,Widget,West,8,68.87,550.96
2024-05-10,Gadget,North,11,41.88,460.68
2024-05-10,Doohickey,East,22,57.3,1260.6
2024-05-11,Doohickey,East,24,53.35,1280.4
2024-05-11,Gadget,West,41,25.92,1062.72
2024-05-11,Gadget,East,17,44.84,762.28
2024-05-12,Widget,South,12,96.74,1160.88
2024-05-12,Doohickey,South,46,32.37,1489.02
2024-05-12,Gizmo,East,32,22.04,705.28
2024-05-13,Widget,East,15,47.67,715.05
2024-05-13,Gadget,West,16,81.13,1298.08
2024-05-13,Doohickey,South,22,62.39,1372.58
2024-05-14,Gizmo,South,28,71.29,1996.12
2024-05-14,Gizmo,North,20,27.07,541.4
2024-05-14,Widget,West,33,65.71,2168.43
2024-05-15,Doohickey,North,10,39.12,391.2
2024-05-15,Doohickey,South,40,85.09,3403.6
2024-05-15,Gadget,West,32,66.64,2132.48
2024-05-16,Doohickey,East,33,27.9,920.7
2024-05-16,Doohickey,West,2,15.82,31.64
2024-05-16,Widget,East,33,13.84,456.72
2024-05-17,Doohickey,East,33,43.43,1433.19
2024-05-17,Gizmo,West,41,33.93,1391.13
2024-05-17,Widget,East,13,68.15,885.95
2024-05-18,Widget,North,30,54.94,1648.2
2024-05-18,Gadget,South,33,33.94,1120.02
2024-05-18,Doohickey,East,13,23.43,304.59
2024-05-19,Gadget,North,26,21.45,557.7
2024-05-19,Gizmo,East,22,87.82,1932.04
2024-05-19,Widget,South,39,31.91,1244.49
2024-05-20,Widget,North,2,68.65,137.3
2024-05-20,Widget,South,38,82.96,3152.48
2024-05-20,Gizmo,South,39,65.27,2545.53
2024-05-21,Gizmo,North,26,87.36,2271.36
2024-05-21,Gadget,North,46,45.32,2084.72
2024-05-21,Gadget,North,15,96.06,1440.9
2024-05-22,Gadget,West,34,21.98,747.32
2024-05-22,Doohickey,North,42,19.19,805.98
2024-05-22,Widget,North,44,69.28,3048.32
2024-05-23,Widget,North,49,94.85,4647.65
2024-05-23,Gadget,North,40,82.8,3312.0
2024-05-23,Widget,East,11,16.88,185.68
2024-05-24,Gadget,West,3,35.14,105.42
2024-05-24,Doohickey,South,6,93.73,562.38
2024-05-24,Doohickey,North,9,32.78,295.02
2024-05-25,Gizmo,East,6,80.31,481.86
2024-05-25,Doohickey,East,9,84.26,758.34
2024-05-25,Gadget,East,39,54.59,2129.01
2024-05-26,Doohickey,South,31,44.77,1387.87
2024-05-26,Gizmo,North,32,50.51,1616.32
2024-05-26,Widget,West,41,30.43,1247.63
2024-05-27,Gadget,West,12,90.05,1080.6
2024-05-27,Widget,East,8,50.56,404.48
2024-05-27,Gizmo,South,8,89.42,715.36
2024-05-28,Gizmo,South,28,19.51,546.28
2024-05-28,Gizmo,South,20,98.94,1978.8
2024-05-28,Widget,West,47,49.89,2344.83
2024-05-29,Widget,East,7,14.3,100.1
2024-05-29,Widget,North,11,13.42,147.62
2024-05-29,Widget,West,20,77.16,1543.2
2024-05-30,Gizmo,East,16,69.31,1108.96
2024-05-30,Gizmo,East,4,82.19,328.76
2024-05-30,Gadget,North,6,19.48,116.88
2024-05-31,Gadget,North,22,13.2,290.4
2024-05-31,Widget,North,26,55.77,1450.02
2024-05-31,Doohickey,South,3,44.88,134.64
2024-06-01,Doohickey,North,41,51.58,2114.78
2024-06-01,Gizmo,East,42,99.24,4168.08
2024-06-01,Gizmo,North,14,97.37,1363.18
2024-06-02,Gizmo,East,11,94.81,1042.91
2024-06-02,Gadget,West,18,80.55,1449.9
2024-06-02,Gadget,South,12,41.94,503.28
2024-06-03,Gizmo,West,23,47.09,1083.07
2024-06-03,Gizmo,West,12,59.47,713.64
2024-06-03,Gizmo,East,13,84.75,1101.75
2024-06-04,Doohickey,West,25,16.18,404.5
2024-06-04,Gadget,East,45,48.19,2168.55
2024-06-04,Doohickey,North,19,17.44,331.36
2024-06-05,Doohickey,North,46,56.32,2590.72
2024-06-05,Gizmo,East,36,90.9,3272.4
2024-06-05,Gizmo,North,45,80.42,3618.9
2024-06-06,Widget,South,8,30.51,244.08
2024-06-06,Widget,West,29,97.84,2837.36
2024-06-06,Doohickey,South,32,70.06,2241.92
2024-06-07,Gadget,West,44,10.94,481.36
2024-06-07,Gizmo,North,18,32.99,593.82
2024-06-07,Gizmo,South,6,33.46,200.76
2024-06-08,Doohickey,North,18,16.23,292.14
2024-06-08,Widget,West,19,96.38,1831.22
2024-06-08,Gadget,East,22,53.04,1166.88
2024-06-09,Widget,East,37,90.62,3352.94
2024-06-09,Widget,South,32,39.0,1248.0
2024-06-09,Widget,North,41,21.27,872.07
2024-06-10,Widget,North,3,52.69,158.07
2024-06-10,Gizmo,South,28,20.26,567.28
2024-06-10,Gizmo,East,10,53.74,537.4
2024-06-11,Widget,West,35,92.83,3249.05
2024-06-11,Gadget,South,29,56.87,1649.23
2024-06-11,Doohickey,West,15,65.48,982.2
2024-06-12,Gadget,East,33,24.1,795.3
2024-06-12,Gadget,North,7,13.94,97.58
2024-06-12,Gadget,East,12,19.97,239.64
2024-06-13,Widget,South,49,63.87,3129.63
2024-06-13,Gizmo,North,30,18.55,556.5
2024-06-13,Gadget,South,21,43.84,920.64
2024-06-14,Widget,South,31,59.51,1844.81
2024-06-14,Gadget,East,24,44.98,1079.52
2024-06-14,Gadget,South,20,24.73,494.6
2024-06-15,Widget,East,37,34.64,1281.68
2024-06-15,Gizmo,North,4,93.55,374.2
